"Butterfat_r" "Breed" "Age"
"1" 0.267379679144385 "Ayrshire" "Mature"
"2" 0.249376558603491 "Ayrshire" "2year"
"3" 0.265251989389920 "Ayrshire" "Mature"
"4" 0.264550264550265 "Ayrshire" "2year"
"5" 0.24390243902439 "Ayrshire" "Mature"
"6" 0.246305418719212 "Ayrshire" "2year"
"7" 0.234192037470726 "Ayrshire" "Mature"
"8" 0.253807106598985 "Ayrshire" "2year"
"9" 0.24330900243309 "Ayrshire" "Mature"
"10" 0.235294117647059 "Ayrshire" "2year"
"11" 0.225225225225225 "Ayrshire" "Mature"
"12" 0.22883295194508 "Ayrshire" "2year"
"13" 0.235294117647059 "Ayrshire" "Mature"
"14" 0.269541778975741 "Ayrshire" "2year"
"15" 0.245098039215686 "Ayrshire" "Mature"
"16" 0.256410256410256 "Ayrshire" "2year"
"17" 0.226757369614512 "Ayrshire" "Mature"
"18" 0.24330900243309 "Ayrshire" "2year"
"19" 0.22883295194508 "Ayrshire" "Mature"
"20" 0.28328611898017 "Ayrshire" "2year"
"21" 0.255102040816327 "Canadian" "Mature"
"22" 0.202020202020202 "Canadian" "2year"
"23" 0.223713646532438 "Canadian" "Mature"
"24" 0.233644859813084 "Canadian" "2year"
"25" 0.245700245700246 "Canadian" "Mature"
"26" 0.24390243902439 "Canadian" "2year"
"27" 0.228310502283105 "Canadian" "Mature"
"28" 0.251256281407035 "Canadian" "2year"
"29" 0.224215246636771 "Canadian" "Mature"
"30" 0.198019801980198 "Canadian" "2year"
"31" 0.233100233100233 "Canadian" "Mature"
"32" 0.190839694656489 "Canadian" "2year"
"33" 0.225733634311512 "Canadian" "Mature"
"34" 0.25 "Canadian" "2year"
"35" 0.216450216450216 "Canadian" "Mature"
"36" 0.233100233100233 "Canadian" "2year"
"37" 0.206185567010309 "Canadian" "Mature"
"38" 0.214592274678112 "Canadian" "2year"
"39" 0.227272727272727 "Canadian" "Mature"
"40" 0.23094688221709 "Canadian" "2year"
"41" 0.220264317180617 "Guernsey" "Mature"
"42" 0.193050193050193 "Guernsey" "2year"
"43" 0.173913043478261 "Guernsey" "Mature"
"44" 0.198412698412698 "Guernsey" "2year"
"45" 0.215517241379310 "Guernsey" "Mature"
"46" 0.208768267223382 "Guernsey" "2year"
"47" 0.211864406779661 "Guernsey" "Mature"
"48" 0.257731958762887 "Guernsey" "2year"
"49" 0.189393939393939 "Guernsey" "Mature"
"50" 0.214592274678112 "Guernsey" "2year"
"51" 0.188679245283019 "Guernsey" "Mature"
"52" 0.222222222222222 "Guernsey" "2year"
"53" 0.217864923747277 "Guernsey" "Mature"
"54" 0.198412698412698 "Guernsey" "2year"
"55" 0.20703933747412 "Guernsey" "Mature"
"56" 0.219780219780220 "Guernsey" "2year"
"57" 0.201207243460765 "Guernsey" "Mature"
"58" 0.185873605947955 "Guernsey" "2year"
"59" 0.185528756957328 "Guernsey" "Mature"
"60" 0.167504187604690 "Guernsey" "2year"
"61" 0.294117647058824 "Holstein-Fresian" "Mature"
"62" 0.281690140845070 "Holstein-Fresian" "2year"
"63" 0.261096605744125 "Holstein-Fresian" "Mature"
"64" 0.253164556962025 "Holstein-Fresian" "2year"
"65" 0.225733634311512 "Holstein-Fresian" "Mature"
"66" 0.27027027027027 "Holstein-Fresian" "2year"
"67" 0.303030303030303 "Holstein-Fresian" "Mature"
"68" 0.254452926208651 "Holstein-Fresian" "2year"
"69" 0.279329608938547 "Holstein-Fresian" "Mature"
"70" 0.282485875706215 "Holstein-Fresian" "2year"
"71" 0.263852242744063 "Holstein-Fresian" "Mature"
"72" 0.273224043715847 "Holstein-Fresian" "2year"
"73" 0.279329608938547 "Holstein-Fresian" "Mature"
"74" 0.295857988165680 "Holstein-Fresian" "2year"
"75" 0.269541778975741 "Holstein-Fresian" "Mature"
"76" 0.253807106598985 "Holstein-Fresian" "2year"
"77" 0.278551532033426 "Holstein-Fresian" "Mature"
"78" 0.281690140845070 "Holstein-Fresian" "2year"
"79" 0.281690140845070 "Holstein-Fresian" "Mature"
"80" 0.291545189504373 "Holstein-Fresian" "2year"
"81" 0.208333333333333 "Jersey" "Mature"
"82" 0.155038759689922 "Jersey" "2year"
"83" 0.193050193050193 "Jersey" "Mature"
"84" 0.22271714922049 "Jersey" "2year"
"85" 0.190839694656489 "Jersey" "Mature"
"86" 0.175438596491228 "Jersey" "2year"
"87" 0.184842883548983 "Jersey" "Mature"
"88" 0.209643605870021 "Jersey" "2year"
"89" 0.193050193050193 "Jersey" "Mature"
"90" 0.191204588910134 "Jersey" "2year"
"91" 0.173913043478261 "Jersey" "Mature"
"92" 0.194552529182879 "Jersey" "2year"
"93" 0.190476190476190 "Jersey" "Mature"
"94" 0.210084033613445 "Jersey" "2year"
"95" 0.193050193050193 "Jersey" "Mature"
"96" 0.23696682464455 "Jersey" "2year"
"97" 0.167224080267559 "Jersey" "Mature"
"98" 0.206185567010309 "Jersey" "2year"
"99" 0.152671755725191 "Jersey" "Mature"
"100" 0.174825174825175 "Jersey" "2year"
